"","Year","State","ViolentCrime","Murderandnonnegligentmanslaughter","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"221",2003,"IDAHO",242.7,1.8,17.9,185.8,2908.7,570.2,2147.5,190.9
"222",2003,"ILLINOIS",556.8,7.1,188.2,328.6,3284.4,618.7,2335.6,330.1
"223",2003,"INDIANA",352.8,5.5,103.3,216.2,3357.7,671.1,2351.4,335.2
"224",2003,"IOWA",272.4,1.6,38.1,206.8,2961.1,596,2174.9,190.2
"225",2003,"KANSAS",395.5,4.5,82.5,270.2,3994,803.6,2904.8,285.6
"226",2003,"KENTUCKY",261.7,4.6,77.6,153.9,2681.5,671.6,1782.4,227.5
"227",2003,"LOUISIANA",646.3,13,157.2,435,4349.5,998.1,2909.3,442.2
"228",2003,"MAINE",108.9,1.2,22.1,58.4,2456.7,503.9,1841.3,111.5
"229",2003,"MARYLAND",703.9,9.5,241.5,428.3,3801.4,701.4,2439.2,660.8
"230",2003,"MASSACHUSETTS",469.4,2.2,124.1,315.1,2549.5,539.7,1613.3,396.5
"231",2003,"MICHIGAN",511.2,6.1,111.7,339.3,3277.3,677.2,2067.1,533.1
"232",2003,"MINNESOTA",262.6,2.5,77.2,141.8,3116.8,547.4,2297.4,272
"233",2003,"MISSISSIPPI",325.5,9.3,104.8,174.1,3720.4,1035.6,2374.2,310.6
"234",2003,"MISSOURI",472.8,5,108.7,334.5,4014.5,717.1,2794.9,502.4
"235",2003,"MONTANA",365.2,3.3,32.5,302.6,3098,405.6,2484.7,207.7
"236",2003,"NEBRASKA",289,3.2,66.8,190.5,3711.4,579.1,2780.2,352.1
"237",2003,"NEVADA",614.2,8.8,230.3,336.1,4288.4,980.6,2378,929.8
"238",2003,"NEW HAMPSHIRE",148.8,1.4,37.1,77.1,2053.9,353.5,1551.5,148.9
"239",2003,"NEW JERSEY",365.8,4.7,154.7,191,2544.4,503,1641.3,400.2
"240",2003,"NEW MEXICO",665.2,6,104,505.2,4123.6,1025.2,2711.3,387.1
"241",2003,"NEW YORK",465.2,4.9,186.3,254.3,2248.3,393.4,1619.3,235.6
"242",2003,"NORTH CAROLINA",454.9,6.1,145.5,278,4278,1197.6,2760.5,319.9
"243",2003,"NORTH DAKOTA",77.8,1.9,8,44,2096.1,306.2,1619.8,170.1
"244",2003,"OHIO",333.2,4.6,147.7,140.8,3640.5,830.1,2451.9,358.5
"245",2003,"OKLAHOMA",505.7,5.9,91.8,365.3,4306,992.3,2944.7,369
"246",2003,"OREGON",295.5,1.9,80.1,179.3,4782.3,804.2,3444.6,533.5
"247",2003,"PENNSYLVANIA",398,5.3,145.4,218.6,2431.3,436,1724.8,270.4
"248",2003,"PUERTO RICO",306.4,20.1,199.5,81.6,1802.1,537.8,949.5,314.8
"249",2003,"RHODE ISLAND",285.6,2.3,77.1,159.3,2995,513.3,2074,407.7
"250",2003,"SOUTH CAROLINA",793.5,7.2,136.7,605.1,4477.1,1050.9,3046.1,380.1
